Time (s),Acceleration_mm_s2,Velocity_mm_s,Displacement_mm
3.34,746.8602330043059,119.59690836307051,107.04950219485156
3.35,831.7700718934042,127.49005988755906,108.28493703610471
3.36,494.799830086832,134.12290939746023,109.5930018825298
3.37,-53.99810176313258,136.32691803907872,110.9452510197125
3.38,-480.777920149844,133.65303792951383,112.29515079955546
3.39,-576.2060851399197,128.368117903065,113.60525657871835
3.4,-418.3724125753148,123.39522541448883,114.86407329530613
3.41,-252.7596339002287,120.03956518211112,116.08124724828913
3.42,-381.4561059361652,116.86848648292914,117.26578750661433
3.43,-840.2717015326258,110.7598474455852,118.4039291762569
3.44,-1411.7844321378582,99.49956677723277,119.45522624737099
3.45,-1745.125122510032,83.71501900399332,120.37129917627712
3.46,-1611.229969697125,66.93324354295754,121.12454048901188
3.47,-1071.9414279039418,53.51738655495221,121.72679363950142
3.48,-455.2469385565912,45.88144472264955,122.22378779588944
3.49,-99.78133066175374,43.106303376557825,122.66872653638548
3.5,-156.6920373329895,41.82393653658411,123.0933777359512
3.51,-439.9406443757697,38.84077312804031,123.49670128427431
3.52,-590.5023967837577,33.68855792224267,123.85934793952572
3.53,-348.7414527515588,28.992338674566092,124.17275242250976
3.54,268.9218493098477,28.593240657357537,124.46068031916938
3.5500000000000003,867.0392697580286,34.273046252696915,124.77501175371965
3.56,1035.0591142430756,43.783538172702436,125.16529467584665
3.5700000000000003,580.8377045500769,51.863022266668196,125.64352747804351
3.58,-255.23114499992144,53.49105506441897,126.17029786469895
3.59,-935.9411416177312,47.535193631330706,126.6754291081777
3.6,-1000.1961434455404,37.85450720601435,127.10237761236442
3.61,-474.8483951251672,30.47928451316081,127.4440465709603
3.62,43.20928098756993,28.321088942472823,127.73804843823847
3.63,-302.9314268869062,27.022478212976143,128.0147662740157
3.64,-2099.8026468487456,15.008807844297884,128.22492270430206
3.65,-5144.034932603049,-21.210380052961085,128.19391484325874
3.66,-8334.92746820662,-88.60519205700943,127.64483698270888
3.67,-10093.735190676573,-180.7485053514254,126.29806849566671
3.68,-9164.714862294995,-277.0407556162832,124.00912219082817
3.69,-5321.119494919714,-349.46992740235675,120.87656877573497
3.7,418.9251071909713,-373.98089934100045,117.25931464201818
3.71,6169.402274805725,-341.039262431017,113.6842138331581
3.72,10041.724503454709,-259.9836285397148,110.67909937830444
3.73,10991.675919918876,-154.81662642284687,108.60509810349163
3.74,9252.7053831166,-53.594719907669486,107.56304137183905
3.75,6052.184139989017,22.92972770785859,107.40971641083999
3.76,2965.8118642762183,68.01970772918477,107.8644635880252
3.77,1087.3165749647435,88.28534992538958,108.64598887629808
3.78,630.8903786860747,96.87638469364367,109.57179754939324
3.79,1032.3801627414464,105.19273740078128,110.58214315986537
3.8,1421.3726136891016,117.46150128293402,111.69541435328395
3.81,1228.959161790288,130.71316016033097,112.93628766050027
3.82,441.52936933790295,139.0656028159719,114.28518147538179
3.83,-472.1587400101414,138.91245596261072,115.67507176927471
3.84,-988.0886473459652,131.6112190258302,117.02769014421692
3.85,-867.4288811300631,122.33363138345005,118.29741439626332
